,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
192,History biography,8788,39863169,https://www.goodreads.com/book/show/39863169-the-first-conspiracy,The First Conspiracy by Brad Meltzer,3.79,6767,1125,9,9 - The First Conspiracy by Brad Meltzer
193,Science technology,6113,44526650,https://www.goodreads.com/book/show/44526650-crisis-in-the-red-zone,Crisis in the Red Zone by Richard Preston,4.4,2848,476,9,9 - Crisis in the Red Zone by Richard Preston
194,Food cookbooks,9699,40796136,https://www.goodreads.com/book/show/40796136-indian-ish,Indian-ish by Priya Krishna,4.21,877,104,9,9 - Indian-ish by Priya Krishna
195,Graphic novels comics,9005,44774415,https://www.goodreads.com/book/show/44774415-mooncakes,Mooncakes by Suzanne  Walker,3.88,6638,2189,9,9 - Mooncakes by Suzanne  Walker
196,Poetry,5925,40680971,https://www.goodreads.com/book/show/40680971-empty-bottles-full-of-stories,Empty Bottles Full of Stories by R.H. Sin,3.72,1764,190,9,9 - Empty Bottles Full of Stories by R.H. Sin
197,Debut novel,11746,43426115,https://www.goodreads.com/book/show/43426115-the-secrets-we-kept,The Secrets We Kept by Lara Prescott,3.71,31010,3381,9,9 - The Secrets We Kept by Lara Prescott
198,Young adult fiction,14322,43744300,https://www.goodreads.com/book/show/43744300-american-royals,American Royals by Katharine McGee,3.87,26349,3962,9,9 - American Royals by Katharine McGee
199,Young adult fantasy,15723,42201395,https://www.goodreads.com/book/show/42201395-sorcery-of-thorns,Sorcery of Thorns by Margaret  Rogerson,4.13,33847,7105,9,9 - Sorcery of Thorns by Margaret  Rogerson
200,Childrens,7878,40390757,https://www.goodreads.com/book/show/40390757-the-strangers,The Strangers by Margaret Peterson Haddix,3.83,3177,588,9,9 - The Strangers by Margaret Peterson Haddix
201,Picture,5807,43671848,https://www.goodreads.com/book/show/43671848-just-because,Just Because by Mac Barnett,3.8,1264,285,9,9 - Just Because by Mac Barnett
